Year Make Model,Nickname,Ordinal,Year,Make,Model,Car Division,Spec,PI,Class
2006 Maserati GranSport,,,2006,Maserati,GranSport,Sports,Factory,477,B
2006 Maserati MC12 Corsa,,,2006,Maserati,MC12 Corsa,,Factory,999,U
2005 Maserati #15 JMB Racing MC12,,,2005,Maserati,#15 JMB Racing MC12,GT1,Race,824,R2
2005 Maserati #35 Risi Competizione MC12,,,2005,Maserati,#35 Risi Competizione MC12,GT1,Livery,842,R2
2005 Maserati #9 Vitaphone Racing Team MC12,,,2005,Maserati,#9 Vitaphone Racing Team MC12,GT1,Livery,845,R2
2004 Maserati MC12 Forza Edition,MC12 FE,,2004,Maserati,MC12 Forza Edition,Extreme Track Toys,Upgraded,945,S2
1957 Maserati 250F,,,1957,Maserati,250F,The Birth of Grand Prix,Race,598,B
2016 Mazda MX-5 Forza Edition,Mazda MX-5 FE,,2016,Mazda,MX-5 Forza Edition,Sport Compact,Upgraded,517,B
2016 Mazda MX-5 Pringles Edition,,,2016,Mazda,MX-5 Pringles Edition,Compact Sport Coupe,Livery,,
2016 Mazda Team Forza MX-5,Mazda MX-5 TF,,2016,Mazda,Team Forza MX-5,Compact Sport Coupe,Livery,,
2013 Mazda #7 Andretti Autosport USF2000,,,2013,Mazda,#7 Andretti Autosport USF2000,? none,Race,,
2013 Mazda MX-5 Cup,Mazda MX-5 Cup,,2013,Mazda,MX-5 Cup,Mazda MX-5 Cup Spec,Race,382,D
2011 Mazda 2,,,2011,Mazda,2,City,Factory,202,E
2010 Mazda #16 Dyson Racing B09/86,,,2010,Mazda,#16 Dyson Racing B09/86,Forza P2,Race,958,R1
2010 Mazda 3 Traffic,,,2010,Mazda,3 Traffic,,Traffic,,
2010 Mazda Mazdaspeed 3,Mazda 3,,2010,Mazda,Mazdaspeed 3,Modern Hot Hatch,Factory,383,D
2010 Mazda MX-5 Super20,Mazda MX-5 '10,,2010,Mazda,MX-5 Super20,Sport Compact,Factory,484,C
2010 Mazda MX-5 Superlight,,,2010,Mazda,MX-5 Superlight,Roadster,Factory,323,D
2009 Mazda #16 Dyson Racing B09/86,,,2009,Mazda,#16 Dyson Racing B09/86,P2,Race,958,R1
2009 Mazda Mazdaspeed 3,,,2009,Mazda,Mazdaspeed 3,Wagon,Factory,415,C
2007 Mazda MX-5 Roadster Coupe,,,2007,Mazda,MX-5 Roadster Coupe,Roadster,Factory,309,D
2005 Mazda Axela Sport 23S,,,2005,Mazda,Axela Sport 23S,Wagon,Factory,240,E
2005 Mazda Mazdaspeed MX-5,Mazda MX-5 '05,,2005,Mazda,Mazdaspeed MX-5,Retro Sports Cars,Factory,587,C
2004 Mazda 3 Sport,,,2004,Mazda,3 Sport,,Factory,,D3
2004 Mazda RX-8,,,2004,Mazda,RX-8,,Factory,,C4
2004 Mazda RX-8 Mazdaspeed,,,2004,Mazda,RX-8 Mazdaspeed,Sports,Factory,388,C
2003 Mazda Protege MAZDASPEED,,,2003,Mazda,Protege MAZDASPEED,,Factory,,D3
2002 Mazda RX-7 Spirit-R,,,2002,Mazda,RX-7 Spirit-R,,Factory,,B4
2001 Mazda Mazdaspeed Familia,,,2001,Mazda,Mazdaspeed Familia,Sedan,Factory,283,D
2001 Mazda Mazdaspeed Roadster,,,2001,Mazda,Mazdaspeed Roadster,Roadster,Factory,334,D
2000 Mazda Miata MX-5 1.8i Sport,,,2000,Mazda,Miata MX-5 1.8i Sport,,Factory,,D3
2000 Mazda MX-5 MAZDASPEED,,,2000,Mazda,MX-5 MAZDASPEED,,Factory,,D2
1995 Mazda AB Flug RX-7,,,1995,Mazda,AB Flug RX-7,,Tuner,613,B
1995 Mazda INGS RX-7,,,1995,Mazda,INGS RX-7,,Tuner,586,B
1995 Mazda RE-Amemiya RX-7,,,1995,Mazda,RE-Amemiya RX-7,,Tuner,846,A
1995 Mazda RX-7 Turbo,,,1995,Mazda,RX-7 Turbo,,Factory,,B4
1991 Mazda #18 787B,#18 Mazda 787B,,1991,Mazda,#18 787B,Early Prototype Racers,Livery,979,P
1990 Mazda RX-7 Turbo,,,1990,Mazda,RX-7 Turbo,,Factory,,D1
2019 McLaren Speedtail,Speedtail '19,,2019,McLaren,Speedtail,Hypercars,Factory,910,S2
2018 McLaren 720S Coupe Preorder Car,McLaren 720S PO,,2018,McLaren,720S Coupe Preorder Car,Modern Super Cars,Upgraded,998,S2
2015 McLaren 570S Coupe,McLaren 570S,,2015,McLaren,570S Coupe,Modern Supercars,Factory,824,S1
2014 McLaren #60 Bhaitech 12C GT3,#60 McLaren 12C,,2014,McLaren,#60 Bhaitech 12C GT3,Forza GT,Race,813,R
2014 McLaren #98 ART Grand Prix 12C GT3,#98 12C GT3,,2014,McLaren,#98 ART Grand Prix 12C GT3,Modern GT Racing,Livery,,
2014 McLaren 650S Spider,650S Spider,,2014,McLaren,650S Spider,Modern Supercars,Factory,856,S1
2013 McLaren P1 'Owen's Edition',Owen's McLaren,,2013,McLaren,P1 'Owen's Edition',Hypercars,Livery,957,S2
2013 McLaren P1 (Ltd. Ed.),,,2013,McLaren,P1 (Ltd. Ed.),Modern Hypercar,Upgraded,,
2013 McLaren Team Forza P1,McLaren P1 TF,,2013,McLaren,Team Forza P1,Modern Hypercar,Upgraded,,
2011 McLaren #59 McLaren GT 12C GT3,#59 McLaren 12C,,2011,McLaren,#59 McLaren GT 12C GT3,Forza GT,Race,819,R
2011 McLaren MP4-12C (livery),,,2011,McLaren,MP4-12C (livery),Modern GT,Upgraded,,
1998 McLaren #41 Gulf Team Davidoff McLaren F1 GTR,,,1998,McLaren,#41 Gulf Team Davidoff McLaren F1 GTR,GTS,Livery,848,R2
1997 McLaren #41 Team McLaren F1 GTR,,,1997,McLaren,#41 Team McLaren F1 GTR,GTS,Livery,843,R2
1997 McLaren #43 Team BMW McLaren F1 GTR,,,1997,McLaren,#43 Team BMW McLaren F1 GTR,GTS,Race,848,R2
2021 Mercedes-AMG SL 63,,,2021,Mercedes-AMG,SL 63,Super Saloons,Factory,,
2017 Mercedes-AMG GT R Preorder Car,M-B AMG GTR PO,,2017,Mercedes-AMG,GT R Preorder Car,Super GT,Upgraded,900,S1
2016 Mercedes-AMG C 63 S Coupe PreOrder Edition,,,2016,Mercedes-AMG,C 63 S Coupe PreOrder Edition,Super Saloons,Upgraded,800,A
2015 Mercedes-AMG GT S,M-B AMG GT,,2015,Mercedes-AMG,GT S,Super GT,Factory,797,A
2015 Mercedes-AMG GT S F&F Edition,M-B AMG GT FF,,2015,Mercedes-AMG,GT S F&F Edition,Fast & Furious,Tuner,649,A
2018 Mercedes-Benz X-Class,M-B X-Class,,2018,Mercedes-Benz,X-Class,Pickups & 4x4s,Factory,368,D
"2017 Mercedes-Benz E 350 D 4Matic All-Terrain ""Project E-AT""",Mercedes E 350 D,,2017,Mercedes-Benz,"E 350 D 4Matic All-Terrain ""Project E-AT""",Offroad,Factory,578,C
2015 Mercedes-Benz #24 Tankpool24 Racing Truck,#24 M-B Truck,,2015,Mercedes-Benz,#24 Tankpool24 Racing Truck,Trucks,Race,702,A
2015 Mercedes-Benz #24 Tankpool24 Racing Truck Forza Edition,#24 M-B Truck FE,,2015,Mercedes-Benz,#24 Tankpool24 Racing Truck Forza Edition,Unlimited Offroad,Upgraded,800,A
2015 Mercedes-Benz #4 Erebus Motorsport E63 AMG V8 Supercar,#4 M-B E63 AMG,,2015,Mercedes-Benz,#4 Erebus Motorsport E63 AMG V8 Supercar,V8 Supercars,Race,,
2015 Mercedes-Benz #9 Erebus Motorsport E63 AMG V8 Supercar,#9 M-B E63 AMG,,2015,Mercedes-Benz,#9 Erebus Motorsport E63 AMG V8 Supercar,Supercars Championship,Livery,785,S
2014 Mercedes-Benz #33 WIX Racing A-Class,#33 A-Class,,2014,Mercedes-Benz,#33 WIX Racing A-Class,Global Touring Cars,Race,,
2014 Mercedes-Benz #84 HTP Motorsport SLS AMG GT3,#84 M-B SLS GT3,,2014,Mercedes-Benz,#84 HTP Motorsport SLS AMG GT3,Forza GT,Race,808,R
2014 Mercedes-Benz G 63 AMG 6x6,M-B G 63 6x6,,2014,Mercedes-Benz,G 63 AMG 6x6,Pickups & 4x4s,Factory,606,B
2014 Mercedes-Benz Unimog U5023,M-B Unimog,,2014,Mercedes-Benz,Unimog U5023,Trucks,Factory,103,D
2013 Mercedes-Benz A 45 AMG Forza Edition,M-B A45 FE,,2013,Mercedes-Benz,A 45 AMG Forza Edition,Modern Hot Hatch,Upgraded,499,C
2013 Mercedes-Benz A 45 AMG Horizon Edition,,,2013,Mercedes-Benz,A 45 AMG Horizon Edition,Super Hot Hatch,Upgraded,773,A
2013 Mercedes-Benz A45 AMG (Day One livery),,,2013,Mercedes-Benz,A45 AMG (Day One livery),Super Hot Hatch,Livery,700,B
2013 Mercedes-Benz E 63 AMG,M-B E63,,2013,Mercedes-Benz,E 63 AMG,Super Saloons,Factory,751,A
2013 Mercedes-Benz G 65 AMG,M-B G 65,,2013,Mercedes-Benz,G 65 AMG,Pickups & 4x4s,Factory,639,B
2012 Mercedes-Benz C 63 AMG Coupe Black Series Forza Edition,M-B C63 FE,,2012,Mercedes-Benz,C 63 AMG Coupe Black Series Forza Edition,Sport Touring,Upgraded,675,A
2012 Mercedes-Benz C 63 AMG Coupe Black Series Horizon Edition,,,2012,Mercedes-Benz,C 63 AMG Coupe Black Series Horizon Edition,Super Saloons,Upgraded,846,S1
2012 Mercedes-Benz S65 AMG,,,2012,Mercedes-Benz,S65 AMG,Sedan,Factory,552,A
2011 Mercedes-Benz #35 Black Falcon SLS AMG GT3,#35 M-B SLS GT3,,2011,Mercedes-Benz,#35 Black Falcon SLS AMG GT3,Forza GT,Race,808,R
2010 Mercedes-Benz C63 AMG,,,2010,Mercedes-Benz,C63 AMG,Sedan,Factory,507,A
2010 Mercedes-Benz CL 65 AMG,,,2010,Mercedes-Benz,CL 65 AMG,Sports,Factory,522,A
2010 Mercedes-Benz E 63 AMG,,,2010,Mercedes-Benz,E 63 AMG,Sedan,Factory,517,A
2010 Mercedes-Benz SLK 55 AMG,,,2010,Mercedes-Benz,SLK 55 AMG,Roadster,Factory,507,A
2009 Mercedes-Benz A200 Turbo Coupe,,,2009,Mercedes-Benz,A200 Turbo Coupe,,Factory,,
2009 Mercedes-Benz ML 63 AMG,M-B ML 63,,2009,Mercedes-Benz,ML 63 AMG,Modern SUV,Factory,508,B
2009 Mercedes-Benz SL 65 AMG Black Series Forza Edition,M-B SL65 FE,,2009,Mercedes-Benz,SL 65 AMG Black Series Forza Edition,Super GT,Upgraded,820,S1
2009 Mercedes-Benz SLR Stirling Moss,,,2009,Mercedes-Benz,SLR Stirling Moss,Roadster,Factory,636,S
2008 Mercedes-Benz Mercedes-AMG #4 C-Class Touring Car,,,2008,Mercedes-Benz,Mercedes-AMG #4 C-Class Touring Car,GTC,Race,834,R2
2006 Mercedes-Benz E 55 AMG Wagon,,,2006,Mercedes-Benz,E 55 AMG Wagon,Retro Saloons,Factory,,
2005 Mercedes-Benz CL65 AMG,,,2005,Mercedes-Benz,CL65 AMG,,Factory,,A2
2005 Mercedes-Benz SLR,Mercedes SLR,,2005,Mercedes-Benz,SLR,Ultimate Grand Tourer,Factory,,
2003 Mercedes-Benz #3 CLK-DTM,,,2003,Mercedes-Benz,#3 CLK-DTM,,Race,,GTS
2003 Mercedes-Benz CLK55 AMG Coupe,,,2003,Mercedes-Benz,CLK55 AMG Coupe,Sports,Factory,462,B
1998 Mercedes-Benz #11 D2 CLK-GTR,,,1998,Mercedes-Benz,#11 D2 CLK-GTR,,Race,,P1
1998 Mercedes-Benz AMG CLK GTR Forza Edition,M-B CLK-GTR FE,,1998,Mercedes-Benz,AMG CLK GTR Forza Edition,Extreme Track Toys,Upgraded,998,S2
1992 Mercedes-Benz 500 E,,,1992,Mercedes-Benz,500 E,Retro Saloons,Factory,,
1987 Mercedes-Benz AMG Hammer Coupe,AMG Hammer Coupe,,1987,Mercedes-Benz,AMG Hammer Coupe,Retro Saloons,Factory,681,B
1987 Mercedes-Benz AMG Hammer Wagon,,,1987,Mercedes-Benz,AMG Hammer Wagon,,Factory,,
1972 Mercedes-Benz 300 SEL 6.3,M-B 300 SEL,,1972,Mercedes-Benz,300 SEL 6.3,Early Sport Touring,Race,299,E
1929 Mercedes-Benz SSK,M-B SSK,,1929,Mercedes-Benz,SSK,Rare Classics,Factory,256,D
1970 Mercury Cyclone Spoiler,Mercury Cyclone,,1970,Mercury,Cyclone Spoiler,Classic Muscle,Factory,491,D
1949 Mercury Coupe,Mercury Coupe,,1949,Mercury,Coupe,Rods and Customs,Factory,158,D
1971 Meyers Manx,Meyers Manx,,1971,Meyers,Manx,Cult Cars,Factory,291,D
1971 Meyers Manx Forza Edition,Meyers Manx FE,,1971,Meyers,Manx Forza Edition,Track Toys,Upgraded,800,A
2023 MG Cyberster,,,2023,MG,Cyberster,,Factory,,
2022 MG MG7,,,2022,MG,MG7,Super Saloons,Factory,,
2015 MG MG3,MG MG3,,2015,MG,MG3,Hot Hatch,Factory,444,D
2005 MG XPower SV-R,MG SV-R '05,,2005,MG,XPower SV-R,Retro Sports Cars,Factory,694,B
1986 MG Metro 6R4,MG Metro 6R4,,1986,MG,Metro 6R4,Rally Monsters,Race,811,S1
1986 MG Metro 6R4 Horizon Edition,,,1986,MG,Metro 6R4 Horizon Edition,Rally Monsters,Upgraded,900,S1
1984 MG Metro 6R4,,,1984,MG,Metro 6R4,,Race,868,S1
1938 MG TA Midget,MG TA '38,,1938,MG,TA Midget,Classic Sports Cars,Factory,100,D
2018 MINI John Cooper Works Convertible,Mini Convertible,,2018,MINI,John Cooper Works Convertible,Hot Hatch,Factory,639,B
2018 MINI John Cooper Works Countryman ALL4,Mini Countryman,,2018,MINI,John Cooper Works Countryman ALL4,Sports Utility Heroes,Factory,537,C
2018 MINI X-Raid John Cooper Works Buggy,Mini JCW Buggy,,2018,MINI,X-Raid John Cooper Works Buggy,Offroad,Factory,632,B
2013 MINI X-Raid ALL4 Racing Countryman,Mini X-Raid,,2013,MINI,X-Raid ALL4 Racing Countryman,Offroad,Race,632,B
2012 MINI John Cooper Works Coupe,,,2012,MINI,John Cooper Works Coupe,Sports,Factory,363,C
2012 MINI John Cooper Works GP Forza Edition,Mini JCW '12 FE,,2012,MINI,John Cooper Works GP Forza Edition,Modern Hot Hatch,Upgraded,498,C
2012 MINI John Cooper Works GP Horizon Edition,,,2012,MINI,John Cooper Works GP Horizon Edition,Hot Hatch,Upgraded,702,A
2011 MINI Cooper S,,,2011,MINI,Cooper S,Hatch,Factory,342,C
2011 MINI John Cooper Works Clubman,,,2011,MINI,John Cooper Works Clubman,Hatch,Factory,381,C
2010 MINI Coupe Concept,,,2010,MINI,Coupe Concept,Coupe,Factory,309,D
2009 MINI John Cooper Works,Mini JCW '09,,2009,MINI,John Cooper Works,Hot Hatch,Factory,598,C
2003 MINI Cooper S,,,2003,MINI,Cooper S,Hatch,Factory,315,D
1965 MINI Cooper S Forza Edition,Mini '65 FE,,1965,MINI,Cooper S Forza Edition,Super Hot Hatch,Upgraded,800,A
1965 MINI Cooper S Horizon Edition,,,1965,MINI,Cooper S Horizon Edition,Classic Rally,Upgraded,549,C
2010 Mitsubishi Colt Ralliart,,,2010,Mitsubishi,Colt Ralliart,Hatch,Factory,307,D
2008 Mitsubishi GameStation Lancer Evo X GSR,,,2008,Mitsubishi,GameStation Lancer Evo X GSR,,Livery,,
2008 Mitsubishi Lancer Evolution X GSR 'Welcome Pack',Lancer GSR WP,,2008,Mitsubishi,Lancer Evolution X GSR 'Welcome Pack',Modern Rally,Upgraded,800,A
2008 Mitsubishi Lancer Evolution X GSR LCE Livery,,,2008,Mitsubishi,Lancer Evolution X GSR LCE Livery,Sedan,Livery,437,B
2006 Mitsubishi Eclipse GT,,,2006,Mitsubishi,Eclipse GT,Sports,Factory,352,C
2006 Mitsubishi HKS Time Attack Evolution,,,2006,Mitsubishi,HKS Time Attack Evolution,Sedan,Tuner,711,R3
2004 Mitsubishi Lancer Evolution VIII FQ-330,,,2004,Mitsubishi,Lancer Evolution VIII FQ-330,,Factory,,B2
2004 Mitsubishi Lancer Evolution VIII GSR,,,2004,Mitsubishi,Lancer Evolution VIII GSR,,Factory,536,C
2003 Mitsubishi Eclipse GTS,,,2003,Mitsubishi,Eclipse GTS,Sports,Factory,249,E
2003 Mitsubishi Sparco Lancer Evolution VIII,,,2003,Mitsubishi,Sparco Lancer Evolution VIII,,Tuner,797,A
2000 Mitsubishi Lancer Evolution VI TME,,,2000,Mitsubishi,Lancer Evolution VI TME,,Factory,,C2
1999 Mitsubishi MINE's CP9A Lancer Evolution VI,,,1999,Mitsubishi,MINE's CP9A Lancer Evolution VI,,Tuner,727,A
1997 Mitsubishi 3000GT VR-4,,,1997,Mitsubishi,3000GT VR-4,,Factory,,C2
1997 Mitsubishi Montero Evolution,,,1997,Mitsubishi,Montero Evolution,,Factory,,
1995 Mitsubishi Eclipse GS F&F Edition,1995 Eclipse FF,,1995,Mitsubishi,Eclipse GS F&F Edition,? none/Japanese Street,Tuner,,
1992 Mitsubishi Galant VR-4 Traffic,,,1992,Mitsubishi,Galant VR-4 Traffic,,Traffic,,
1988 Mitsubishi Starion ESI-R,Starion ESI-R,,1988,Mitsubishi,Starion ESI-R,Retro Sports Cars,Factory,549,C
2014 Morgan 3 Wheeler,Morgan 3 Wheeler,,2014,Morgan,3 Wheeler,Cult Cars,Factory,488,D
2010 Morgan Aero SuperSports,Morgan Aero,,2010,Morgan,Aero SuperSports,Modern Sports Cars,Factory,766,A
1965 Morris Mini-Traveller,Morris Traveller,,1965,Morris,Mini-Traveller,Vans & Utility,Factory,100,D
1953 Morris Minor 1000,Morris Minor,,1953,Morris,Minor 1000,Cult Cars,Factory,100,D
1953 Morris Minor 1000 Forza Edition,Morris Minor FE,,1953,Morris,Minor 1000 Forza Edition,Track Toys,Upgraded,800,A
1953 Morris Minor Series II Traveler,Morris Traveler,,1953,Morris,Minor Series II Traveler,Vans & Utility,Factory,100,D
2010 Mosler MT900S,Mosler MT900S,,2010,Mosler,MT900S,Extreme Track Toys,Factory,919,S2
2006 Mosler MT900 GT3,Mosler MT900 GT3,,2006,Mosler,MT900 GT3,Extreme Track Toys,Race,910,S2
1933 Napier Napier-Railton,Napier-Railton,,1933,Napier,Napier-Railton,Vintage Racers,Factory,603,B
2017 Nissan #78 Nissan Motorsport Altima,#78 Nissan Altima,,2017,Nissan,#78 Nissan Motorsport Altima,Supercars Championship,Livery,785,S
2017 Nissan GT-R Preorder Car,Nissan GT-R PO,,2017,Nissan,GT-R Preorder Car,Modern Super Cars,Upgraded,900,S1
2016 Nissan Titan Warrior Concept,Nissan Titan,,2016,Nissan,Titan Warrior Concept,Pickups & 4x4s,Factory,486,D
2016 Nissan Titan Warrior Concept Forza Edition,Nissan Titan FE,,2016,Nissan,Titan Warrior Concept Forza Edition,Extreme Offroad,Upgraded,583,C
2015 Nissan #23 NISMO MOTUL AUTECH GT-R,#23 NISMO GT-R,,2015,Nissan,#23 NISMO MOTUL AUTECH GT-R,Forza GT,Race,978,P
2015 Nissan #23 Nissan Motorsport Altima,#23 Altima,,2015,Nissan,#23 Nissan Motorsport Altima,Supercars Championship,Race,,
2015 Nissan IDx NISMO,Nissan IDx NISMO,,2015,Nissan,IDx NISMO,Sport Compact,Factory,397,D
2014 Nissan Juke Nismo RS,Nissan Juke,,2014,Nissan,Juke Nismo RS,Modern SUV,Factory,370,D
2014 Nissan Juke Pringles Edition,,,2014,Nissan,Juke Pringles Edition,Hot Hatch,Livery,,
2012 Nissan GT-R Black Edition (R35),Nissan GT-R '12,,2012,Nissan,GT-R Black Edition (R35),Modern Supercars,Factory,810,S1
2012 Nissan GT-R Black Edition Forza Edition,Nissan GT-R FE,,2012,Nissan,GT-R Black Edition Forza Edition,Sport GT,Upgraded,772,S
2012 Nissan GT-R Black Edition Horizon Edition,,,2012,Nissan,GT-R Black Edition Horizon Edition,Modern Super Cars,Upgraded,882,S1
2011 Nissan Leaf,,,2011,Nissan,Leaf,Hatch,Factory,125,F
2011 Nissan Micra,,,2011,Nissan,Micra,City,Factory,121,F
2010 Nissan #12 Calsonic Impul GT-R,,,2010,Nissan,#12 Calsonic Impul GT-R,SGT500,Livery,859,R2
2010 Nissan 370Z,Nissan 370Z,,2010,Nissan,370Z,Modern Sports Cars,Factory,688,B
2010 Nissan G-Shock 370Z,,,2010,Nissan,G-Shock 370Z,Sports Cars,Livery,712,A
2010 Nissan GT-R SPECV,,,2010,Nissan,GT-R SPECV,Super,Factory,663,S
2009 Nissan Versa SL,,,2009,Nissan,Versa SL,Economy,Factory,209,E
2008 Nissan #23 Xanavi Nismo GT-R,,,2008,Nissan,#23 Xanavi Nismo GT-R,SGT500,Livery,859,R2
2008 Nissan #24 Woodone Advan Clarion GT-R,,,2008,Nissan,#24 Woodone Advan Clarion GT-R,SGT500,Livery,859,R2
2008 Nissan #3 YellowHat YMS Tomica GT-R,,,2008,Nissan,#3 YellowHat YMS Tomica GT-R,SGT500,Race,859,R2
2007 Nissan 350Z Grand Touring Coupe,,,2007,Nissan,350Z Grand Touring Coupe,,Factory,519,C
2007 Nissan Altima 3.5 SE,,,2007,Nissan,Altima 3.5 SE,,Factory,387,D
2007 Nissan Sentra SE-R Spec V,,,2007,Nissan,Sentra SE-R Spec V,Sedan,Factory,336,D
2005 Nissan #46 Dream Cube's ADVAN Z,,,2005,Nissan,#46 Dream Cube's ADVAN Z,SGT300,Race,736,R3
2004 Nissan Pickup #23 Rally Raid,#23 Nissan RR,,2004,Nissan,Pickup #23 Rally Raid,Unlimited Offroad,Race,577,C
2003 Nissan #12 Calsonic Skyline,,,2003,Nissan,#12 Calsonic Skyline,SGT500,Race,858,R2
2003 Nissan #23 Xanavi Nismo GT-R,,,2003,Nissan,#23 Xanavi Nismo GT-R,SGT500,Race,825,R2
2003 Nissan #3 Hasemisport Endless Z,,,2003,Nissan,#3 Hasemisport Endless Z,SGT300,Livery,736,R3
2003 Nissan 350Z Track,,,2003,Nissan,350Z Track,,Factory,,B4
2003 Nissan Fairlady Z Forza Edition,Fairlady Z FE,,2003,Nissan,Fairlady Z Forza Edition,Unlimited Offroad,Upgraded,800,A
2003 Nissan Forza Motorsport Fairlady Z,,,2003,Nissan,Forza Motorsport Fairlady Z,Coupe,Upgraded,645,S
2003 Nissan Skyline Coupe 350GT,,,2003,Nissan,Skyline Coupe 350GT,Sports,Factory,418,C
2003 Nissan Skylne,,,2003,Nissan,Skylne,,Factory,,C2
2003 Nissan Team Forza Fairlady Z,Fairlady Z TF,,2003,Nissan,Team Forza Fairlady Z,Japanese Street Kings,Upgraded,,
2002 Nissan Fairlady Z F&F Edition,2002 Fairlady FF,,2002,Nissan,Fairlady Z F&F Edition,? none/Japanese Street,Tuner,,
2002 Nissan MINE'S R34 Skyline GT-R,,,2002,Nissan,MINE'S R34 Skyline GT-R,Sports,Tuner,691,S
2002 Nissan Skyline GT-R V-Spec II Nur,,,2002,Nissan,Skyline GT-R V-Spec II Nur,,Factory,666,B
2002 Nissan Tommy Kaira Skyline GT-R R34,,,2002,Nissan,Tommy Kaira Skyline GT-R R34,,Tuner,665,B
2000 Nissan Silvia Spec-R Forza Edition,,,2000,Nissan,Silvia Spec-R Forza Edition,Sport Compact Icons,Upgraded,497,C
2000 Nissan Silvia Spec-R Horizon Edition,,,2000,Nissan,Silvia Spec-R Horizon Edition,Asian Sports Cars,Upgraded,742,A
2000 Nissan Top Secret D1-Spec S15,,,2000,Nissan,Top Secret D1-Spec S15,Super,Tuner,642,S
1999 Nissan Skyline GT-R F&F Edition,1999 Skyline FF,,1999,Nissan,Skyline GT-R F&F Edition,? none/Modern Sport,Tuner,,
1998 Nissan #32 Nissan R390 GT1,,,1998,Nissan,#32 Nissan R390 GT1,GTS,Race,859,R2
1998 Nissan 240SX SE,,,1998,Nissan,240SX SE,,Factory,,D4
1997 Nissan #23 Nissan Motorsports R390 GT1,,,1997,Nissan,#23 Nissan Motorsports R390 GT1,GTS,Livery,864,R2
1997 Nissan Stagea Four V,,,1997,Nissan,Stagea Four V,,Factory,,
1995 Nissan NISMO GT-R LM,Nissan GT-R '95,,1995,Nissan,NISMO GT-R LM,Retro Sports Cars,Factory,658,B
1995 Nissan NISMO GT-R LM Forza Edition,GT-R LM FE,,1995,Nissan,NISMO GT-R LM Forza Edition,Extreme Track Toys,Upgraded,886,S1
1995 Nissan Skyline GT-R,,,1995,Nissan,Skyline GT-R,,Factory,,C2
1994 Nissan #75 Cunningham Racing 300ZX,#75 Nissan 300ZX,,1994,Nissan,#75 Cunningham Racing 300ZX,GT Racing Reborn,Race,832,R
1994 Nissan 300ZX Twin Turbo Version R,,,1994,Nissan,300ZX Twin Turbo Version R,,Factory,,C1
1993 Nissan MINE'S R32 Skyline GT-R,,,1993,Nissan,MINE'S R32 Skyline GT-R,Sports,Tuner,675,S
1985 Nissan Safari Turbo,Nissan Safari,,1985,Nissan,Safari Turbo,Pickups & 4x4s,Factory,230,D
1972 Nissan 240 ZX,,,1972,Nissan,240 ZX,,Factory,,D4
1969 Nissan Fairlady Z 432R,,,1969,Nissan,Fairlady Z 432R,,Factory,482,C
1966 Nissan Silvia,Silvia '66,,1966,Nissan,Silvia,Vintage Sport Compact,Factory,228,E
2010 Noble M600,Noble M600,,2010,Noble,M600,Modern Supercars,Factory,877,S1
2006 Noble M400,Noble M400,,2006,Noble,M400,Track Toys,Factory,829,S1
1966 Oldsmobile Toronado,Toronado '66,,1966,Oldsmobile,Toronado,Classic Muscle,Factory,403,D
2004 Opel Speedster Turbo,,,2004,Opel,Speedster Turbo,Superlight,Factory,443,B
2003 Opel #5 OPC TEAM PHOENIX Astra V8,,,2003,Opel,#5 OPC TEAM PHOENIX Astra V8,GTC,Race,829,R2
2003 Opel #6 OPC Team Phoenix Astra V8,,,2003,Opel,#6 OPC Team Phoenix Astra V8,,Livery,,GTS
1984 Opel Manta 400,Opel Manta 400,,1984,Opel,Manta 400,Rally Monsters,Factory,691,B
1968 Opel GT,Opel GT,,1968,Opel,GT,Vintage Sport Compact,Factory,234,E
1963 Opel Kadett A,Opel Kadett '63,,1963,Opel,Kadett A,Cult Cars,Factory,100,D
2016 Pagani Huayra BC Forza Edition,Pagani Huayra FE,,2016,Pagani,Huayra BC Forza Edition,Extreme Track Toys,Upgraded,998,S2
2012 Pagani Huayra Totino's Edition 1,Huayra Totinos,,2012,Pagani,Huayra Totino's Edition 1,Hypercar,Livery,801,R
2012 Pagani Huayra Totino's Edition 2,Pagani Totinos,,2012,Pagani,Huayra Totino's Edition 2,Hypercar,Livery,801,R
2010 Pagani Zonda R,Pagani Zonda R,,2010,Pagani,Zonda R,Extreme Track Toys,Race,959,S2
2010 Pagani Zonda R Forza Edition,Pagani Zonda FE,,2010,Pagani,Zonda R Forza Edition,Extreme Track Toys,Upgraded,986,S2
2009 Pagani Zonda Cinque Roadster 'Oreo Edition',p oreo,,2009,Pagani,Zonda Cinque Roadster 'Oreo Edition',Hypercars,Livery,900,S1
2003 Pagani #17 Carsport America Zonda GR,,,2003,Pagani,#17 Carsport America Zonda GR,GTS,Race,825,R2
1999 Pagani Zonda C12,,,1999,Pagani,Zonda C12,Super,Factory,626,S
2011 Panoz #050 Panoz Racing Abruzzi ,,,2011,Panoz,#050 Panoz Racing Abruzzi ,GT2,Race,759,R3
2006 Panoz #81 Team LNT Panoz Esperante GTLM,,,2006,Panoz,#81 Team LNT Panoz Esperante GTLM,GT2,Livery,776,R3
2005 Panoz #51 Panoz Esperante GTLM,,,2005,Panoz,#51 Panoz Esperante GTLM,GT2,Race,752,R3
2005 Panoz Esperante GTLM,,,2005,Panoz,Esperante GTLM,Sports,Factory,527,A
